checkpoint,alpaca_rouge1,alpaca_rouge2,alpaca_rougeL,alpaca_bertscore,alpaca_completion_rate,alpaca_avg_length,judge_win_rate_vs_ckpt0,json_validity,json_schema,json_exact_match,json_field_f1
Base (ckpt0),0.41225505720649425,0.1981657128163908,0.2788419873937476,0.822912335395813,0.94,198.58,,0.48,0.45,0.11,0.12833333333333333
Stage1-Alpaca (ckpt1),0.41305748965176703,0.19887509518373797,0.279555485341269,0.8225392699241638,0.94,198.09333333333333,0.1619718309859155,0.58,0.53,0.12,0.115
Stage2-JSON (ckpt2),0.41475126934835854,0.2051420636521999,0.28250211672136016,0.8231632113456726,0.9333333333333333,201.36666666666667,0.24087591240875914,0.56,0.51,0.12,0.12833333333333333
